,المصنع الحديث للسخانات, 0114486898, 0114469756, m.aldosary@aljazierah.com
1185,Tanahat Mining Company, 0138473600, 0138473600, factory@tanhatmining.com
1186,Tanahat Mining Co. Ltd., 0138471339, 0138473600, factory@tunlatmiimg.com
1187,Natural Gas Distribution Company, 0114982629, 0114982630, kalrubayan@ngdc.com.sa
1188,Thomas & Bates Saudi Arabia, 0138121222, 0138121175, ahmad.al-Dossary@tnb.com
1189,Teco Middle East Electrical & Equipment Co. Ltd., 0138341678, 0138352619, wael.hamri@teco-me.com
1190,Tina Company, 0112652699, 0112652699, hhbbhh@gmail.com
1194,TINARIS SAUDI ARABIA CO. LTD, 0138129206, 0138127499, yabdullah@tenaris.com
1197,Jareer Refrigerators Co. Ltd., 0114985343, 0114789932, adeljarir2@gmail.com
1198,THEMAR FOOD INDUSTRIES CO. LTD, 0126080564, 026080564, abdolhadibafabir@hotmail.com
1199,Saudi Group 5 Pipe Company, 0138123122, 0138123122, hossam@g5s.com
1200,Jotun Powder Cutters Company Saudi Arabia , 0138121259, 0138121226, mohammed.hawail@jotun.com
1201,John Crane Saudi Arabia Limited Company, 0138121613, 038121613, john.loug@jojncrane.co.uk
1202,Johnson Saudi Arabia Limited, 0126378112, 026378112, amolagi@scj.com
1203,Saudi Steel Rebar Company Limited, 0126374991, 026374991, ssr@saudi-steel.com.sa
1206,Haras Industries Co. Ltd., 0138471692, 0138472810, alabdullah@guardianind.com
1207,Hassan Mansour Al Yami Company and Partner for Iron and Aluminum Products, 0138121376, 0138121376, accountsppsa@permapipe.com
1208,Logistics Solutions Company, 0138575444, 0138824620, naif@lss.com.sa
1209,Khaled Al - Habeel and his partner for home furniture, 0135829292, 035829292, khalid@nattily.com
1210,Khaled Abdullah Al Zahid & Partners Co. , 0138122260, 038122260, ebtekar2@awalnet.net.sa
1211,Khaled Ali Al Turki & Sons Co, 0138077100, 0138685614, info@alturkigroup.com
1212,Khaled Mohammed Ali Saad Al - Din & Partners Co, 0138123723, 0138123862, nezar@saadeddin.com
1213,Khaled and Ali Ahmed Mohammed Al - Bahmar Company for Industry and Trade, 0138122591, 0138122591, indust_acc@kadco.org
1214,Arab Australian Laboratories Services Company , 0138347676, 038347676, abulaziz.alzahrani@alsarabia.com
1215,Khaldun Industrial Co. (Textile & Embroidery Factory), 0114981410, 0114981304, khaldoon_factory@yahoo.com
1216,Dar Al Aql For Electronic Printing , 0114777461, 0114781516, info@daralakl.com
1218,Dar Al Qasim Publishing & Distribution Company, 0114052500, 0114033150, y707z@hotmail.com
1220,Dar Al - Metal for Industry, 0112421401, 0112420958, info@darmetal.com.sa
1221,Dar Al Moneo Aluminum Products Co. Ltd. - Dalbco, 0114980004, 0114980008, daraluminio@gmail.com
1222,Dania Food Co. Ltd., 0114981414, 0114980628, moalt@arlafoods.com
1224,Dania Saudi Industrial Co. Ltd., 0126470097, 026470097, daniaest@saudi.net.sa
1225,Drissr Rand Arabic Company, 0138010289, 0138010294, jaldossary@dresser-rand.com
1226,Delta Bottled Water Company, 0126371600, 026371600, mohsennahdi@hotmail.com
1230,Delmaza Food Industries Company, 0112650075, 0112650058, admin@marami.com.sa
1231,Al Wazee Poultry Company, 0135333368, 035333368, admin@alwaziyahpoultryco.com
1234,DUKA SAUDI ARABIA CO. LTD, 0126648625, 026648625, jeddah@doka.com
1235,Damas Medical Products Company, 0114991889, 0114990869, demas@demas-group.com
1237,Rashed Abdul Rahman Al Rashed & Sons Co. for Steel Products    , 0138123940, 0138595253, vasu@alrashed-steel.com.sa
1239,Rashid Abdulrahman Al Rashed & Awalouda Company, 0138595872, 0138595253, vasu@alrashed-steel.com.sa
1241,Donaldson & Sons Company Limited, 0138121184, 0138121050, info@saudifilter.com
1242,Electric Power Company Limited, 0112653701, 0112653704, abdullah@mots.com.sa
1243,Reda National Paints and Road Safety Company, 0114980888, 0114980619, yousef.alrashid@redanational.com
1250,Redaayat Kamika Coating Protection Co. Ltd., 0138123515, 0138123303, rezcoat@rezayat.com.sa
1251,Redayat Protective Coating Co. Ltd., 0138121215, 0138121294, adminrpcl@rezayat.com.sa
1252,Metal Corner Trading & Industry Co. Ltd., 0138023588, 0138023588, netaiscorner@hotmail.com
1253,Rawabi Electricity Company, 0138121266, 0138121295, info@remalelectric.com
1254,Rawabi Electricity Company, 0138121266, 0138121295, mohammed.alhezam@remaleectric.com
1256,Rawafed Holding Company, 0114604343, 0114604344, msmgasim@yahoo.com
1257,Ritaj Al Wozail Services & Maintenance Co, 0112658888, 0112659999, jaber@carpets.com
1258,Rexam United Packaging Industries Co , 0138121361, 038121361, ahmed.alghelaigah@rexamuac.com
1259,Zarqa Yamamah for lenses, 0112650405, 0114664599, lens@eye.com.sa
1260,Zahran Company for Maintenance and Operation , 0138122724, 0133305976, www@hotmail.com
1262,Sasab Molds & Spare Parts Co. Ltd., 0138204637, 0138204635, harb@sasi.com.sa
1263,SAFE INTERNATIONAL CO. LTD, 0112651591, 0112651590, safyleather@hotmail.com
1265,SAFED CO. LTD, 0114982984, 0114982497, jjawhari@safid.com
1268,Straa Al Amal Industrial Company, 0114928783, 0114983664, info@alamal.com.sa
1269,Saudi Grafco Company , 0138121284, 0138121025, graphco@awalnet.net.sa
1271,Saudi Multi Trading Company, 0138126625, 0138126624, chemara@alsaidi.com
1273,Saeed & Gamal Plastic Company, 0126366975, 0126364940, abdu@mscc.com.sa
1275,Sulaiman Saleh Al Rasheed Food Industries Co , 0138121448, 0138121574, sldammam@awalnet.net.sa
1277,Samshan Abdul Wahhab Al - Suhaibi & Sons Company, 0126362631, 0126378061, shamsan@alsohaibi.com.sa
1278,SENTHOMER Middle East, 0138121263, 038121263, mohsen.aljermeez@synthomer.com
1279,Suhail Bin Abdul Mohsen Al Shuaibi & Sons Holding Company, 0138941700, 0138640616, mohammed.altaweel@shoaibigroup.com
1280,SIAFA INTERNATIONAL INDUSTRY, 0126085270, 026085270, ahmed@alwanidates.com
1281,SIGAN ARAB CONTRACTING & MAINTENANCE COMPANY, 0126727965, 026727965, info@ab.com.sa
1282,Saudi Sigma Paints Co. Ltd., 0138471734, 0138471734, info@sigmapaints.com
1283,Saudi Sigma Paints Co. Ltd., 0138473100, 0138471734, kassas@sigmapaints.com
1284,Saudi Master of Bakers Co. Ltd., 0138125200, 0138125070, gamals@saudi.switzgroup.com
1286,Sisab International Company for Industry and Construction, 0126082828, 0126081814, shalan@sesab.com.sa
1290,Saudi Sickly Company, 0126374321, 026374321, ahmad@saudisicli.com.sa
1291,Siemens Co. Ltd., 0112778111, 0112778333, shadi.aldaoud@siemens.com
1292,Shan Foods Food Co. Ltd., 0125207373, 025207373, INFO@SHANFOODS.SA
1294,Schlumberger Middle East, 0133310300, 0133311701, abco@yhoo.com
1295,Shamsan Abdul Wahab Al - Suhaibi & Sons Company, 0126363631, 0126378061, shamsan@alsohaibi.com.sa
1296,Food Company Limited, 0114651001, 0114657008, basmail.ma@gmail.com
1297,Food Company Limited, 0114651001, 0116457008, zmarawi@yahoo.com
1298,Shawadh Al Jazeerah Co, 0148404724, 048404724, eidr90@hotmail.com
1299,Shorbim Middle East, 0112791048, 0112791047, smebeam@ssebeam.com
1300,Savola Packaging Systems - Plastic Packaging Factory, 0126380660, 0126380657, mbustangi@savola.com
1302,Saleh and Abdul Aziz Abahsen Co. for the manufacture of packaging , 0138984045, 0138984040, abnew@abahsain.net
1303,Sahary Refrigeration Company, 0126376358, 026376358, sahari.com@gmail.com
1306,Food Manufacturers Company, 0126080104, 026080104, hatim.sait@fmculker.com.sa
1310,United Food Industries Co. - Dima, 0112652000, 0112652262, akeel@deemah.com
1311,Food & Pastry Industries Co. Ltd. (Sabla), 0126370318, 0126370318, asa@sunbulahgroup.com
1317,Titanium & Steel Industries Co. Ltd. , 0138125353, 0138125454, aahoti@tsmarabia.com
1318,Autumn Industries Co, 0112651124, 0112652348, factory@alkhorayef.com
1320,Arab Insulation Industries Co. - Insulators, 0114981604, 0114981707, hr@awazel.com
1323,Arab Insulation Industries Co. Ltd., 0126367527, 026367527, mansourk@awazelcompany.com
1327,Saudi Concrete Industries Company              , 0126918227, 026918227, info@scpi.com.sa
1329,New Products Industries Co. (Nipro Plast), 0126362364, 026362364, info@neproplast.com
1332,Alumaco Aluminum Manufacturing Co. Ltd., 0138472555, 0138472081, admin@alumaco.com
1333,Arab Plastic Industry Co. Ltd. , 0126380930, 026380930, AIIDG@balubaid.com.sa
1334,Arab Plastic Industry Co. Ltd., 0126380101, 0126380930, hussain.albishi@balubaid.com.sa
1335,Saudi Net Industry Co. Ltd., 0138472124, 0138472124, info@saudichainlinkfence.com.sa
1337,MED COMPANY FOR PLASTIC INDUSTRIES, 0126081055, 026081055, a.shazad@tib-plastie.com
1339,Talal Sulaiman Al Ghunaim Real Estate Company , 0138412444, 0138421278, gghunaim@alghunaim-holding.com
1340,Taiba Jewelery & Jewelery Co. Ltd, 0126420113, 026420113, factory@taiba.com
1342,Adel Al Humaidan & Partners Trading Co, 0112292255, 0112290970, alhumaidan.hr@gmail.com
1343,Plastic Recycling World, 0126081082, 026081082, a.lahza@crwcksa.com
1344,Abaqer Printing Company, 0138984414, 0138127046, turki@alazzaz.net
1345,Abakher Printing Company Limited, 0112651000, 0112652229, nasser@abaker.com.sa
1347,Aballah Nasralodan Company Industrial and Plastic Industries, 0114471151, 0114483028, manager@al-odan.com
1349,Abdul Rahman Abanmi & Mohammed Al Zamil Company - Al Watan Est, 0112650150, 0112650180, alwatan@alwatanfac.com.sa
1350,Abdulkarim Mohammed Al Rajhi & Partners Metal Co. Ltd., 0114980011, 0114980022, ak@aljawalblackberry.com
1351,Abdullah Bosbit & Co. Ltd., 0138475000, 0138128752, abco@yhoo.com
1352,Abdullah Hashem Industrial Equipment & Gases Co. Ltd., 0138122092, 0138122016, info@er.ahg.com.sa
1354,Abdullah Hashim Equipment & Gas Co., 0126376146, 0126376146, ama@wr.ahg.com.sa
1356,Abdullah Hashem Industrial Equipment & Gases Co., 0112650722, 0122651369, salehhamedmadhi@cr.ahg.com.sa
1357,ABDULLAH AND KHALED ABDULLAH AL SHUABI TRADING COMPANY, 0135333655, 035333655, admin@spf.com.sa
1361,Abdulla Mohammed Bajbeer & Sons Company for Gases , 0126080351, 026080351, Omar_amb@jizangases.com
1363,Gulf Cross Valves Manufacturing Co. Ltd., 0138670444, 0138675552, f.alhajri@pghco.com
1364,Future Future Plastic Company, 0112651985, 0112652505, ismaiel70@yahoo.com
1365,Obeid Waid Obaid Al Mestadi Al Harbi & Hamad Bin Salem Al Saeri & Partners Co., 0126357617, 026357617, malsaari@omsteel.com.sa
1369,Othman Abdul Rahman Al Osaimi & Partners Trading Co, 0138121345, 0138122157, almorshidi@gmail.com
1377,Adwan Co. For Chemical Industries, 0112650041, 0112650023, raed@adwanchem.com
1381,Attia Steel Company, 0126081219, 026081219, omar.hamad@attiehgroup.com
1384,Almadar Faboterm Ltd., 0114769377, 0114770987, mohd5000@hotmail.com
1386,Anan Housing Company , 0126166120, 026166120, amr@ananiskan.com
1387,Anan Housing Development Co. Ltd., 0126165758, 026165758, arafat@ananiskan.com
1389,God Care & Sons Co. For Plastic Products , 0148264138, 048264138, rnb_ius@yahoo.com
1390,Eastern Insulators Co. Ltd., 0138473334, 0138473334, yosefhasem@yahoo.com
1391,Falcon Plastic Products Co, 0126081518, 026081518, Mansour.Almalki@falconplastic.com.sa
1393,Falcon Plastic Products Co, 0112651531, 0112651530, yahya.allan@falconplastic.com.s
1396,Fine Tulip Saudi Arabia Ltd., 0126080866, 012370382, gr@finetoolsa.com
1397,FARAS FOR INVESTMENT & REAL ESTATE DEVELOPMENT, 0114666333, 0114660095, info@forus.com.sa
1398,Arab Friesland Company, 0126380758, 026380758, mohd.arqum@frieslandcampina.com
1399,Absolute Filters Company, 0126372903, 0126372903, info@almutlak.com
1402,Flowserv / Abahsin Co. Ltd., 0138123615, 038123615, abnew@abahsain.net
1403,Fahad Al Baybi Company and its partner for food packaging, 0138127406, 0138324137, albiabi1374@gmil.com
1404,Fahad Thnayan Thunayan & Co. for Chemical Products, 0114024242, 0114022615, hamdy226@yahoo.com
1407,FOSAM CO. LTD, 0126080999, 0126375891, salahuddin.nabeel@fosroc.com
1409,Vita Food Products Company, 0138471365, 0138471545, general@vita.com
1410,Saudi Vetonit Company Limited, 0126370041, 026370041, ellabadi@saudivetonit.com
1412,Saudi Vetonit Company Limited - Saveto, 0112653334, 0112652860, Ramiishak@saudivetonit.com
1415,Veolia Water Solutions & Technologies Saudi Chemical Industries, 0114771628, 0114782560, abdullah.hijazi@veoliawater.com
1416,Veolia Water Solutions & Technology Manufacturing Co. Ltd., 0138121034, 0138121080, moussa.elhayek@veolia.com
1417,Qabas National Company for the manufacture of metal ropes, 0138155130, 0138155134, saeed@gabasalbilad.com
1418,KADOR PACKING PRODUCTS CO. LTD , 0112428803, 0112428809, kodoor.sa@hotmail.com
1419,Jeddah Cables Company , 0126364695, 026364695, alim6066@hotmail.com
1424,Saudi Kubota Company, 0138086281, 0138020866, yahssaie@kubota.com.sa
1425,Saudi Clarinet Paints Company Limited, 0112652828, 0112651413, khalaf.alshamrani@clariant.com
1429,Kudu Nutrition and Catering Company, 04191440, 0114191322, alsaleh@kudu.com.sa
1431,CORBROA ARAB CORP , 0138123774, 0138123771, amintami@hotmail.com
1433,Cortina Food Industries Ltd., 0126377873, 026377873, management@cortina.com.sa
1436,Cosmoplast Company Riyadh , 0114981051, 0112651833, hrpf@alhokair.com
1437,Kontnal was Saudi Arabia, 0138471306, 0138473914, ca.tareq@jbcmc.com
1438,Industrial Resins Chemicals Company , 0138122088, 0138121995, icr@icr.com.sa
1442,Saudi Chemicals Company, 0138123928, 0138123927, nmo@saudichem.com
1443,Lazurde Jewelery Company, 0112651119, 0112656060, abdullah.obaid@lazurde.com
1445,Saudi Lamino Company, 0112652325, 0112652169, ho@saudilamino.com
1447,Lajam Sports Co. (Fitness Time), 0122361114, 022361114, abdulmohsen@fitnesstime.com.sa
1449,Lama Holding Company, 0112650000, 0112652699, hbh@almanhal.com.sa
1451,Distribution Boards & Breakers Co. Ltd., 0112651515, 0112651860, mohammed.sufiani@sa.schneider-electric.com
1454,Saudi Malco Group Co. Ltd., 0112656000, 0112659000, starafdar@saudimalcogroup.com
1455,METESCO Co. For Metal Constructions , 0112653001, 0112651109, metscco@metscco.com
1457,Astra Industrial Complex for Fertilizers and Agricultural Pesticides, 0138121347, 0138121347, personnel@astrachem.com.sa
1458,Sultanah Industrial Complex Company, 0163815949, 063815949, Sultanacomplex@hotmail.com
1461,Al Haramain Industrial Group Co. Ltd., 0126376688, 0126368227, sales@alharamain.com
1464,Aboudawood Group & Company for Industry - Clorex Factory Jeddah, 0126367418, 026367418, atef.ismail@abudawoodksa.com
1465,JAYALQASIM UNITED GROUP FOR TRADING INDUSTRY & CONTRACTING LTD, 0163220775, 063220775, mohammed.admin@jiadalqassim.com
1468,Mohammed Ibrahim Al - Subaie & Sons Co, 0114883388, 0114886262, ibafakih@masic.com.sa
1469,Mohammed Abdul Aziz Al Tarif & Sons Co, 0163220661, 0163220622, turaif@hotmail.com
1471,Mohamed Amin Ismail Co. and its partners for cement concrete and artificial stone products, 0148493329, 048493329, maismaeil1431@hotmail.com
1472,Mohammed Abdullah Sharbatly Co. Ltd., 0148271842, 048271842, Madinah@sharbatlyfruit.com
1473,MOHAMMAD ABOUD MOHAMMAD & CO, 0114489201, 0114461398, info@modhish.com.sa
1475,Mohammed Ali Saad Al Din Sweets & Pastries, 0138123862, 038123862, m.alabdullah@saadeddin.com
1476,Mahmoud Saeed Glass Manufacturing Co, 0126366366, 0126372043, msglass@msgi-sa.com
1479,Mahmoud Saeed for Beverage Industry, 0126732996, 026732996, shawgi@mscc.com.sa
1483,Mahmoud A. Al - Limim & Co. for Beverages and Juices Limited , 0138123213, 0138123517, assif@chubbysa.com
1484,Mahmoud Yousif Adadhah & Esam Kabbani & Co. Ltd, 0125203056, 025203056, yahya@adada-kabbani.com
1485,Saudi Power Transformers Company, 0138144626, 0138144627, nooh@sptc.com.sa
1486,Al - Ahsa Bakery Company, 0135333606, 035333606, ahbarakery@ahgroup.com
1489,Mari Bin Mahfouz & Ahmed Al Amoudi Manufacturing Co. (Jeddah Wire), 0126360789, 026360789, ahmedbalahmer@sau.dupont.com
1492,Technical and safety center for training , 0138082405, 0138020137, halharbi@gtsc.biz
1493,Saudi Foundry Company for smelting and metal forming, 0114984323, 0114980395, hr-sudaery@hotmail.com
1495,Heating and Cooling Projects Company, 0112651500, 0112651521, goldenstar@cyberia.net.sa
1498,Saudi Arabian Water Projects Company, 0114774927, 0114763960, nabil@waterpsa.com
1499,Al - Eman Factories Co. For Contracting & Trading , 0138570260, 0138579968, hdjh@h.com
1501,Al Jazeera Steel Products Co. Ltd., 0126380333, 0126367823, jasco@aljazera.com
1506,Arabian Gulf Factories for Plastic and Rubber Industries, 0126377944, 0126373354, agm1@gulfmaid.com
1509,Al - Nasir Factories Company for grills ovens and heaters, 0126082153, 026082153, alnasser1980@hotmail.com
1510,Modern Carpentry and Decoration Industries Co. , 0114992999, 0114982135, mcdf@mcdfltdco.com
1513,Umm Al - Qura Refrigeration Industries Company, 0126370285, 026370285, info@alkanaa.com
1514,Khalid & Abdul Aziz Yassin & Brothers Co. For Ice Industry, 0126479443, 0126494970, khalidkhayyat1@hotmail.com
1515,Saudi Flower Tea Industries Co. Ltd., 0126361193, 026361193, TEATIP1@YAHOO.COM
1516,Abu Al - Saud Furniture Factory , 0126373075, 026354451, sales@abouseoud.com
1518,Najd Brick Company , 0163220002, 0163220830, moh-fatah79@hotmail.com
1519,Ahmed Afifi & Co. Co. For Melamine Panels, 0138123840, 0138123843, afifimelamine@hotmail.com
1522,Asamco Aluminum Systems Factory , 0138571556, 0138570655, alnaesr600@gmail.com
1524,Al - Ateqan Electrical Plates Factory Co, 0112652716, 0112653704, abdullah@mots.com.sa
1525,Elegant Furniture Factory Co. Ltd, 0126494530, 026494530, gm@elegantco.net
1526,Factory Accreditation Factory, 012608179, 0126093901, trufaco@hotmail.com
1527,Al Andalus Glass Factory Co, 0114482160, 0114467309, granada@andalusgroup.com
1528,Al Azman Steel Factory Co., 0138355401, 0138355451, chacko@age.ae
1530,Modern Wood Works Factory Co., 0138123552, 0138123404, lnfo@mww.com.sa
1532,Al Andalus Glass Factory Co, 0112650908, 0112653276, granada@andalusgroup.com
1533,Al - Anwar Factory Co. for its owners Khaled Abul - Al - Sagheer and a partner, 0114482544, 0114460709, info@alanwar.com.sa
1534,Al - Batterjee Factory for Pharmaceuticals and Medical Supplies, 0126080909, 026080909, group@batterjeepharma.com
1537,Al - Bashaer Plastic Products Factory, 0122889809, 022889809, mahmod.a.badran@gmail.com
1538,Al Bayan Metal & Wood Works Factory, 0112658885, 0112658880, info@albayanf.com
1540,Crown Factory for Soap, 0126374909, 0126644891, nabeelfrhan@hotmail.com
1544,Saudi Arabian Television Factory Company, 0122577201, 022577201, adelshalhoub@hotmail.com
1545,Al - Thameen Factory for Perfumes and Cosmetics , 0135301283, 035301283, info@althameen.com
1547,AL JAZEERA MANUFACTURING INDUSTRIES LTD, 0126368240, 012683810, alnahdi@aljazeerahmattress.com
1548,Al - Jazeerah Paints Factory Co, 0172211111, 0172382770, asulaiman@al-jazeerapaints.com
1555,Al - Jazeerah Paints Factory Co, 0112211111, 0114880007, sgadran@al-jazeerapaints.com
1556,Al - Jazeerah Paints Factory Co, 0172382773, 072382773, sshamary@al-jazeerapaints.com
1557,Al - Jazeerah Paints Factory Co , 0172211111, 0172382770, asulaiman@al-jazeerapaints.com
1559,Al - Hadara Chemical Company, 0114985765, 0114982895, alhadarahco@yahoo.com
1560,Confectionery and Tahini National Company, 0126375574, 026375574, info@temafood.com
1562,Al Hayat Carpets Factory , 0138122626, 0138122727, alhayat@alhayatcarpet.com
1564,Saudi Movable Concrete Factory Co. Ltd., 0126362912, 026362912, stb@stbeton.com
1566,Gulf Metal Galvanization Factory Co. Ltd, 0138123444, 0138123449, info@gulfgalv.com
1568,Al Rajhi Plastic & Sponge Factory, 0114482450, 0114461493, foam@alrajhigroup.com
1569,Al - Rashed Factory for Boxes and Plastic, 0114985750, 0114985934, info@lastmade.com
1570,Al - Rasheed Factory for Aluminum Kitchens, 0138123410, 0138123410, Mohd_rakco@yahoo.com
1573,Eastern Sands Factory Co., 0138087084, 0138021182, sales@alrimalgrc.co
1575,Al - Samhan Factory for Saudi Pumps, 0114982244, 0114982266, asamhan@cyberia.net.sa
1576,Al - Hameed Factory for the manufacture of inks and printing plates, 0114980415, 0114983695, info@alsamaink.com
1578,Al-Sareem Juice Manufacturing & Packing Co. Ltd., 0126080895, 026080895, mtowireb@arrow-juice.com
1583,Al Sayed Factory for Household Utensils, 0125202780, 025202780, hisham@alsayed-f.com
1584,AL SHARKAWI AIR CONDITIONING MANUFACTURING CO. LTD, 0126390311, 026390311, info@sharqawifactory.com
1587,Al Shorouq International Co. For Ashing Co. Ltd., 0126355455, 026355455, alriyadh_consultant@yahoo.com
1588,Gulf Valves Factory, 0138226661, 0138226660, Info@rafiaia.com
1589,Al Dhahran Aluminum Factory, 0138472303, 0138472303, info@daafco.com
1590,High Chemical Factory Co. Ltd, 0138421828, 0138421698, hajersj@yahoo.com
1591,Obeikan Factory, 0114983392, 0114982300, a.khalid@obeikan.com.sa
1592,Railway and Railway Works Factory Company, 0114982080, 0114981021, info@arabatco.com
1593,Al Orouba Aluminum Factory Co, 0114645346, 0114645316, q380@hotmail.com
1595,Al Omra Water Factory Co. Ltd., 0125223266, 025223266, alumrahwater@hotmail.com
1597,Oyoun Water Factory Co., 0126081285, 0126081426, info@aloyoun.com.sa
1601,Al - Ghamdi Wood Products Factory, 0138263600, 0138263077, info@ghamdiwoods.com
1603,Saudi Cover Factory Co. Ltd., 0126376870, 026376870, saudi_cover@hotmail.com
1605,Al Qablan Thermal Pipes Factory Co., 0114760663, 0114762389, adib@alkoblan.com.sa
1607,Al Qassim Polystyrene Manufacturing Company, 0163220133, 063220133, polypackalqassim@yahoo.com
1608,Al Qassim Factory for Automatic Doors and Building Materials, 0163855056, 0163240465, fahad-qassim-autodoors@hotmail.com
1610,Al - Mubarak Factory for Trailers and Tawank, 0114982787, 0114985371, mashraf1@hotmail.com
1612,United Plastic Industries Factory, 0126360031, 026360031, llnigull@hotmail.com
1613,Medical Solutions Factory Co., 0126379460, 026379460, admin@psi.com.sa
1616,Melamine Model Factory Co. Ltd, 0114980052, 0114980056, saudimfco@gmail.com
1618,Al Manhal Water Factory Co. Ltd. , 0112650000, 0112650934, hodere.alharbi@nestle-waters.com.sa
1620,Insulation Materials Factory Co., 0126362600, 0126363266, info@insulationfactoryltd.com
1621,Insulation Materials Factory Co., 0126363266, 026363266, insulation.factory@gmail.com
1622,El Mina Factory For Plastic Products, 0112650578, 0112650615, faryad@alminagroup.net
1625,El Mina Factory For Electrical Panels, 0114489351, 0114485793, faryad@alminagroup.net
1626,Al - Wuraif Plastic Factory Co, 0112435511, 0112423941, haithamkrdi@hotmail.com
1627,Cleaning Machinery Factory Co. Ltd. , 0112652066, 0112652068, osama@rem-ksa.com
1628,Al Yashmak Garments Factory Co., 0114864482, 0114864453, khalaf9900@yahoo.com
1630,Refreshments Factory Co. - Channels, 0112650600, 0112650660, info@springsbeverage.com.sa
1631,Angad Plastic Industries Factory , 0138121290, 0138123651, hure@aldossary-group.com
1632,Ahmed Mohammed Bukhari factory and partner for pillows and bed sheets, 0112653633, 0112653635, ama_bukhari@yahoo.com
1634,Aluminum Factory Company Mohammed Abdullah Ramdani , 0126379841, 026379841, MARAMAdani@hotmail.com
1635,Fiberglass Pipe Factory Co. Ltd., 0138121001, 0138121272, aazahrani@amiantit.com
1636,Saudi Pipe Systems Company, 0126081100, 0126365925, sps@pipes.sa
1637,Saudi Pipe Systems Company, 0126081100, 0126365925, hammouni1@gmail.com
1643,Iskrim Red Factory Co. Ltd., 0126120716, 026120716, alhamra_factory@hotmail.com
1644,BATOUQ GAS COMPANY CO, 0138121245, 0138122116, general@batook.com
1647,Bafrat Factory Co. (Sugar Factory), 0126364737, 0126364737, aattas@ranafood.com
1651,AL - HAMR CO. FOR METAL COATING, 0138123347, 0138334839, indust_acc@kabco.org
1653,Bostani Chocolate and Gifts Factory, 0138678545, 0138679541, admin@bostani.ch
1654,Riyadh Plastic Factory Co., 0114980151, 0114488341, hrpf@alhokair.com
1656,Riyadh Plastic Factory Co. , 0114483344, 0114488341, hrpf@alhokair.com
1657,SUN PLASTIC INDUSTRY CO. LTD, 0112440798, 0112440766, shamsplastic@yahoo.com
1658,Saudi Besan Factory for Sealing, 0138902696, 0138903917, sbisou@gmoil.com
1659,Tihour Rice Processing Company and Packing of Cereals and Spices, 0114387335, 0114387355, cnricemills@hotmail.com
1660,Snowman Sons Company, 0126360227, 026360227, adeebambukhary@gmail.com
1661,Sakhal Water Factory Co., 0138121888, 0138122211, info@jadawell.com
1665,Jeddah Industrial Thread Factory, 0126370888, 0126380813, ali.katheri@al-sorayai.com
1669,Jeddah Plastic Textile Factory, 0126379944, 0126379944, makool@moussallati.com
1671,Jeddah Electrical Distribution Company Company, 0126360186, 026360186, m.alsefri@gedac-electric.com.sa
1672,Jamjoom Pharmaceutical Company, 0126081111, 0126081222, abdullah.alfassi@jamjoompharma.com
1673,Jamjoom Pharmaceutical Company Limited, 0126140088, 0126140088, jamjoomjj@yahoo.com
1674,Jamjoom Medical Industries Co. Ltd., 0126094173, 026094173, jamjoom@jamjoom.md
1676,Saudi Heavy Industries Company, 0138277759, 0138277759, hdjh@h.com
1677,Hassan Mantour Al Yami Factory and Partner for Wooden Furniture , 0138955042, 0138121002, mhu122@hotmail.com
1679,Hassan Mansour Al Yami Factory and Partner , 0138749000, 0138955042, email@hotmail.com
1680,Factory Solutions Packaging , 0126081082, 026081082, info@psfksa.com
1681,El Sham Sweets Factory. Ltd, 0112650450, 0112650383, khalaf1828@gmail.com
1682,Khaled Al - Hamad Factory and a partner for plastic film, 0138121646, 0138121646, nh@alhamadco.com
1683,Dar Al - Asmah Electrical Panels Factory Factory, 0114980822, 0114981712, admin@sep.com.sa
1684,Factory House Sweets, 0138121055, 0138121351, sweethousebl@yahoo.com
1685,Dar Debag Paper Products Factory, 0163220090, 063220090, info@ftinco.com
1688,Saudi Paints Factory Co., 0172382610, 072382610, aborakan969@yahoo.com
1691,Raghadan Paints Factory Company, 0112651017, 0112652318, factory@raghadan.com.sa
1692,Al-Shiraa Dates Factory Co., 0114386736, 0114386723, alshira786@hotmail.com
1693,Reef Cover Glassware Co. Ltd, 0126080312, 026080312, saleh@reefcaps.com
1695,Reem Factory for Heaters, 0112652162, 0112651927, reemheater@hotmail.com
1697,Ziad Mohammed Darwish & Co. Radiators Factory, 0138122300, 0138311509, z.mostafa@zmarf.com
1699,Electric Water Heaters Factory Company, 0138122144, 0138340086, asmin@aldossarystores.com
1701,Sanabel Al Shahad Food Factory, 0163222000, 0163220202, smh2012-sahad@hotmail.com
1703,Al - Jazeera Food Industries Factory Company, 0122621025, 022621025, hetem_939@yahoo.com
1704,Salah Mustafa Al - Ras Advertising Machinery Manufacturing Company, 0126380166, 0126080519, salah@caravansigns.com
1705,Stainless Steel Factory Co., 0112650277, 0112650344, ssw-4@yahoo.com
1706,Attia Steel Factory , 0114461763, 0114486724, aw.alama@attiehgruop.com
1707,Pharos Glassware Factory, 0148457584, 048457584, faaross@hotmail.com
1709,Fash Fash Foodstuff Factory Co., 0114981916, 0114981451, info@feshfashfood.com
1710,Al Rasheed Fine Arts Factory Co. , 0138221479, 0138221479, ramzi@zamilinqdustrial.com
